testcase,testcase_id,source_format,target_format,status,error_message,eps_coord,hash_bits,repeats,warmup_runs,node_fidelity_basis,sets_include_instance,sets_include_names,sets_refnode_collision_policy,t_ref_s_to_z88_s,t_ref_z88_to_json_s,t_ref_total_s,t_s_to_t_s,t_t_to_z88_s,t_z88_to_json_s,t_t_to_json_total_s,t_total_s,n_nodes_ref_all,n_nodes_ref_connected,n_nodes_ref,n_elems_ref,n_nodes_rt_all,n_nodes_rt_connected,n_nodes_rt,n_elems_rt,node_precision,node_recall,node_f1,elem_precision,elem_recall,elem_f1,elem_precision_ordered,elem_recall_ordered,elem_f1_ordered,elem_f1_type_agnostic,bbox_diag_ref,bbox_diag_rt,eps_over_bbox_diag_ref,eps_over_bbox_diag_rt,tet_jacobian_checked_ref,tet_jacobian_neg_ref,tet_jacobian_neg_frac_ref,tet_jacobian_checked_rt,tet_jacobian_neg_rt,tet_jacobian_neg_frac_rt,refpoints_ref_count,refpoints_ref_unique,refpoints_rt_count,refpoints_rt_unique,refpoints_precision,refpoints_recall,refpoints_f1,refpoints_as_nodes_coverage,refpoints_as_nodes_intersection,refpoints_as_nodes_rp_unique,refpoints_as_nodes_nodes_unique,refpoints_as_nodes_present_all,refpoints_as_nodes_precision,refpoints_as_nodes_recall,refpoints_as_nodes_f1,refpoints_as_nodes_jaccard,nodesets_ref,nodesets_rt,nodesets_preserved_exact,nodesets_ref_total,nodesets_mem_precision,nodesets_mem_recall,nodesets_mem_f1,nodesets_invalid_ids_ref,nodesets_invalid_ids_rt,nodesets_union_size_ref,nodesets_union_size_rt,nodesets_union_intersection,nodesets_union_precision,nodesets_union_recall,nodesets_union_f1,nodesets_union_jaccard,nodesets_dedup_removed_ref,nodesets_dedup_removed_rt,elemsets_ref,elemsets_rt,elemsets_preserved_exact,elemsets_ref_total,elemsets_mem_precision,elemsets_mem_recall,elemsets_mem_f1,elemsets_invalid_ids_ref,elemsets_invalid_ids_rt,elemsets_union_size_ref,elemsets_union_size_rt,elemsets_union_intersection,elemsets_union_precision,elemsets_union_recall,elemsets_union_f1,elemsets_union_jaccard,elemsets_dedup_removed_ref,elemsets_dedup_removed_rt,nodesets_name_precision,nodesets_name_recall,nodesets_name_f1,elemsets_name_precision,elemsets_name_recall,elemsets_name_f1,parts_ref,instances_ref,parts_rt,instances_rt,refpoints_ref,refpoints_rt,removed_rp_tokens,coord_token_collisions_ref,coord_token_collisions_rt,refnode_id_collisions_ref,refnode_id_collisions_rt,refnode_collision_ids_ref,refnode_collision_ids_rt,elem_total_node_refs_ref,elem_invalid_node_refs_ref,elem_zero_node_tokens_ref,elem_total_node_refs_rt,elem_invalid_node_refs_rt,elem_zero_node_tokens_rt,ms_node_f1_0p5,ms_elem_f1_0p5,ms_eps_0p5,ms_node_f1_1p0,ms_elem_f1_1p0,ms_eps_1p0,ms_node_f1_2p0,ms_elem_f1_2p0,ms_eps_2p0
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,ok,,0.005,128,5,1,connected,True,True,collision,13.076419249991886,8.28482045000419,21.361239699996077,7.603518149990123,11.504259449982783,8.12801324998145,19.632272699964233,48.59703054995043,978075,978075,978075,863031,978075,978075,978075,863031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,937.537733369764,937.537733369764,5.333118681024867e-06,5.333118681024867e-06,0,0,NaN,0,0,NaN,13,3,13,3,1.0,1.0,1.0,0.0,0,3,977616,0.0,0.0,0.0,0.0,0.0,55,55,55,55,1.0,1.0,1.0,0,0,977619,977619,977619,1.0,1.0,1.0,1.0,0,0,219,219,219,219,1.0,1.0,1.0,0,0,863031,863031,863031,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,15,15,15,15,13,13,0,0,0,0,0,0,0,6904248,0,0,6904248,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,ok,,0.005,128,5,1,connected,False,True,collision,13.076419249991886,8.28482045000419,21.361239699996077,11.942114749981556,19.132228200003738,8.086943500005873,27.21917170000961,60.52252614998724,978075,978075,978075,863031,978075,978075,978075,863031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,937.537733369764,937.5377333697671,5.333118681024867e-06,5.33311868102485e-06,0,0,NaN,0,0,NaN,13,3,13,3,1.0,1.0,1.0,0.0,0,3,977616,0.0,0.0,0.0,0.0,0.0,55,55,55,55,1.0,1.0,1.0,0,0,977619,977619,977619,1.0,1.0,1.0,1.0,0,0,219,219,219,219,1.0,1.0,1.0,0,0,863031,863031,863031,1.0,1.0,1.0,1.0,0,0,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6255707762557078,0.6255707762557078,0.6255707762557078,15,15,1,1,13,13,0,0,0,0,0,0,0,6904248,0,0,6904248,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,ok,,0.005,128,5,1,connected,False,False,collision,13.076419249991886,8.28482045000419,21.361239699996077,10.6127609499963,15.92428905001725,7.850098050024826,23.774387100042077,55.74838775003445,978075,978075,978075,863031,978075,978075,978075,863031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,937.537733369764,937.5377333697659,5.333118681024867e-06,5.333118681024857e-06,0,0,NaN,0,0,NaN,13,3,13,3,1.0,1.0,1.0,0.0,0,3,977616,0.0,0.0,0.0,0.0,0.0,55,55,55,55,1.0,1.0,1.0,0,0,977619,977619,977619,1.0,1.0,1.0,1.0,0,0,219,219,219,219,1.0,1.0,1.0,0,0,863031,863031,863031,1.0,1.0,1.0,1.0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,15,15,1,1,13,13,0,0,0,0,0,0,0,6904248,0,0,6904248,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#1/SUB40270rs28kN.inp,#1,abaqus,z88,ok,,0.005,128,5,1,connected,True,True,collision,13.076419249991886,8.28482045000419,21.361239699996077,10.316899549972732,11.735195899993414,7.856850749987643,19.592046649981057,51.270185899949865,978075,978075,978075,863031,978075,978075,978075,863031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,937.537733369764,937.537733369764,5.333118681024867e-06,5.333118681024867e-06,0,0,NaN,0,0,NaN,13,3,13,3,1.0,1.0,1.0,0.0,0,3,977616,0.0,0.0,0.0,0.0,0.0,55,55,55,55,1.0,1.0,1.0,0,0,977619,977619,977619,1.0,1.0,1.0,1.0,0,0,219,219,219,219,1.0,1.0,1.0,0,0,863031,863031,863031,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,15,15,15,15,13,13,0,0,0,0,0,0,0,6904248,0,0,6904248,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,ok,,0.005,128,5,1,connected,False,True,collision,1.2029210000182502,0.5770966999989469,1.780017700017197,1.0486226500070188,0.8663402000092901,0.595678149984451,1.4620183499937411,4.290658700017957,86438,86438,86438,42425,86438,86438,86438,42425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,89.79027422514545,89.79027422514545,5.568531829474876e-05,5.568531829474876e-05,37866,0,0.0,37866,0,0.0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,86372,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,469840,0,0,469840,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,ok,,0.005,128,5,1,connected,False,True,collision,1.2029210000182502,0.5770966999989469,1.780017700017197,1.2541828499815892,1.4884434000123292,0.62865654999041,2.117099950002739,5.1513005000015255,86438,86438,86438,42425,86438,86438,86438,42425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,89.79027422514545,89.79027422514545,5.568531829474876e-05,5.568531829474876e-05,37866,0,0.0,37866,0,0.0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,86372,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,469840,0,0,469840,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,ok,,0.005,128,5,1,connected,False,False,collision,1.2029210000182502,0.5770966999989469,1.780017700017197,1.1722454499977175,1.0268283500045072,0.5894006000016816,1.6162289500061888,4.568492100021103,86438,86438,86438,42425,86438,86438,86438,42425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,89.79027422514545,89.79027422514545,5.568531829474876e-05,5.568531829474876e-05,37866,0,0.0,37866,0,0.0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,86372,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,0,0,0,0,0,0,0,0,0,469840,0,0,469840,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,ok,,0.005,128,5,1,connected,False,True,collision,1.2029210000182502,0.5770966999989469,1.780017700017197,1.1332624000206124,0.8482425000111107,0.6284477999724913,1.476690299983602,4.3899704000214115,86438,86438,86438,42425,86438,86438,86438,42425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,89.79027422514545,89.79027422514545,5.568531829474876e-05,5.568531829474876e-05,37866,0,0.0,37866,0,0.0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,86372,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,469840,0,0,469840,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#11/academic_rotor.cdb,#11,ansys,abaqus,ok,,0.005,128,5,1,connected,False,True,collision,0.018608849961310625,0.013004999986151233,0.03161384994746186,0.01794585000607185,0.015249899995978922,0.013556549994973466,0.028806449990952387,0.0783661499444861,786,786,786,524,786,786,786,524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.396088851137235,3.396088851137235,0.0014722818569148065,0.0014722818569148065,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,786,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,4192,0,0,4192,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#11/academic_rotor.cdb,#11,ansys,ansys,ok,,0.005,128,5,1,connected,False,True,collision,0.018608849961310625,0.013004999986151233,0.03161384994746186,0.01961469996604137,0.024122500006342307,0.013804899965180084,0.03792739997152239,0.08915594988502562,786,786,786,524,786,786,786,524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.396088851137235,3.396088851137235,0.0014722818569148065,0.0014722818569148065,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,786,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,4192,0,0,4192,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
