model_id,testcase,source_format,target_format,status,hash_bits,eps_coord,bbox_diag_ref,bbox_diag_rt,eps_over_bbox_diag_ref,eps_over_bbox_diag_rt,n_nodes_ref,n_elems_ref,nodesets_ref,elemsets_ref,refpoints_ref_unique,node_f1,elem_f1,elem_f1_ordered,elem_f1_type_agnostic,nodesets_mem_f1,elemsets_mem_f1,nodesets_exact_ratio,elemsets_exact_ratio,nodesets_union_f1,elemsets_union_f1,nodesets_name_f1,elemsets_name_f1,refpoints_f1,refpoints_as_nodes_coverage,tet_jacobian_checked_rt,tet_jacobian_neg_frac_rt,parts_ref,instances_ref,parts_rt,instances_rt,t_ref_total_s,t_s_to_t_s,t_t_to_json_total_s,t_total_s,sets_include_instance,sets_include_names,sets_refnode_collision_policy,coord_token_collisions_ref,coord_token_collisions_rt,refnode_id_collisions_ref,refnode_id_collisions_rt,refnode_collision_ids_ref,refnode_collision_ids_rt,elem_total_node_refs_ref,elem_invalid_node_refs_ref,elem_zero_node_tokens_ref,elem_total_node_refs_rt,elem_invalid_node_refs_rt,elem_zero_node_tokens_rt,ms_node_f1_0p5,ms_elem_f1_0p5,ms_eps_0p5,ms_node_f1_1p0,ms_elem_f1_1p0,ms_eps_1p0,ms_node_f1_2p0,ms_elem_f1_2p0,ms_eps_2p0
1,#1/SUB40270rs28kN.inp,abaqus,abaqus,ok,128,0.005,937.537733369764,937.537733369764,5.333118681024867e-06,5.333118681024867e-06,978075,863031,55,219,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,NaN,15,15,15,15,21.361239699996077,7.603518149990123,19.632272699964233,48.59703054995043,True,True,collision,0,0,0,0,0,0,6904248,0,0,6904248,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
1,#1/SUB40270rs28kN.inp,abaqus,ansys,ok,128,0.005,937.537733369764,937.5377333697671,5.333118681024867e-06,5.33311868102485e-06,978075,863031,55,219,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6181818181818182,0.6255707762557078,1.0,0.0,0,NaN,15,15,1,1,21.361239699996077,11.942114749981556,27.21917170000961,60.52252614998724,False,True,collision,0,0,0,0,0,0,6904248,0,0,6904248,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
1,#1/SUB40270rs28kN.inp,abaqus,nastran,ok,128,0.005,937.537733369764,937.5377333697659,5.333118681024867e-06,5.333118681024857e-06,978075,863031,55,219,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.0,0,NaN,15,15,1,1,21.361239699996077,10.6127609499963,23.774387100042077,55.74838775003445,False,False,collision,0,0,0,0,0,0,6904248,0,0,6904248,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
1,#1/SUB40270rs28kN.inp,abaqus,z88,ok,128,0.005,937.537733369764,937.537733369764,5.333118681024867e-06,5.333118681024867e-06,978075,863031,55,219,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,NaN,15,15,15,15,21.361239699996077,10.316899549972732,19.592046649981057,51.270185899949865,True,True,collision,0,0,0,0,0,0,6904248,0,0,6904248,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
2,#2/Makro_RLK_402_70_T2_21kN.inp,abaqus,abaqus,ok,128,0.005,1715.0766794558383,1715.0766794558383,2.9153215479475857e-06,2.9153215479475857e-06,355487,303652,16,45,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,NaN,4,4,4,4,6.55051205001655,2.6071073499915656,6.748089950007852,15.905709350015968,True,True,collision,0,0,0,0,0,0,2429216,0,0,2429216,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
2,#2/Makro_RLK_402_70_T2_21kN.inp,abaqus,ansys,ok,128,0.005,1715.0766794558383,1715.0766794558392,2.9153215479475857e-06,2.9153215479475844e-06,355487,303652,16,45,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.8888888888888888,1.0,0.3333333333333333,0,NaN,4,4,1,1,6.55051205001655,4.189998899993952,9.423242550023133,20.163753500033636,False,True,collision,0,0,0,0,0,0,2429216,0,0,2429216,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
2,#2/Makro_RLK_402_70_T2_21kN.inp,abaqus,nastran,ok,128,0.005,1715.0766794558383,1715.0766794558385,2.9153215479475857e-06,2.9153215479475857e-06,355487,303652,16,45,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,0.3333333333333333,0,NaN,4,4,1,1,6.55051205001655,3.9764086000213865,7.773474899993744,18.30039555003168,False,False,collision,0,0,0,0,0,0,2429216,0,0,2429216,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
2,#2/Makro_RLK_402_70_T2_21kN.inp,abaqus,z88,ok,128,0.005,1715.0766794558383,1715.0766794558383,2.9153215479475857e-06,2.9153215479475857e-06,355487,303652,16,45,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,NaN,4,4,4,4,6.55051205001655,3.7009935499809217,7.021240399975795,17.272745999973267,True,True,collision,0,0,0,0,0,0,2429216,0,0,2429216,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
3,#3/Modell-3.inp,abaqus,abaqus,ok,128,0.005,99.498743710662,99.498743710662,5.02518907629606e-05,5.02518907629606e-05,18073,16256,6,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,NaN,2,2,2,2,0.3555763000040315,0.14707845001248643,0.3488900999655016,0.8515448499820195,True,True,collision,0,0,0,0,0,0,130048,0,0,130048,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
3,#3/Modell-3.inp,abaqus,ansys,ok,128,0.005,99.498743710662,99.498743710662,5.02518907629606e-05,5.02518907629606e-05,18073,16256,6,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9444444444444444,1.0,1.0,0,NaN,2,2,1,1,0.3555763000040315,0.22083705000113696,0.4931510999740567,1.0695644499792252,False,True,collision,0,0,0,0,0,0,130048,0,0,130048,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
