testcase,testcase_id,source_format,target_format,phase,stage,run_idx,is_warmup,used_for_stats,dt_s,repeats,warmup
#1/SUB40270rs28kN.inp,#1,abaqus,REF,ref,ref_src_to_z88,0,True,False,12.98130309995031,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,REF,ref,ref_src_to_z88,1,False,True,12.518928300007246,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,REF,ref,ref_src_to_z88,2,False,True,13.283105899987277,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,REF,ref,ref_src_to_z88,3,False,True,13.111648499965668,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,REF,ref,ref_src_to_z88,4,False,True,13.041190000018105,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,REF,ref,ref_z88_to_json,0,True,False,8.359611099993344,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,REF,ref,ref_z88_to_json,1,False,True,8.331020599987824,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,REF,ref,ref_z88_to_json,2,False,True,8.29324769997038,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,REF,ref,ref_z88_to_json,3,False,True,8.26577370002633,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,REF,ref,ref_z88_to_json,4,False,True,8.276393200038001,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,src_to_target,0,True,False,7.462644299957901,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,src_to_target,1,False,True,7.580505100020673,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,src_to_target,2,False,True,7.626531199959572,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,src_to_target,3,False,True,7.772908300044946,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,src_to_target,4,False,True,7.430400499957614,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,rt_src_to_z88,0,True,False,11.9179033000255,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,rt_src_to_z88,1,False,True,11.524938400019892,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,rt_src_to_z88,2,False,True,11.482251900015399,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,rt_src_to_z88,3,False,True,11.607079199980944,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,rt_src_to_z88,4,False,True,11.483580499945674,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,rt_z88_to_json,0,True,False,8.22490759997163,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,rt_z88_to_json,1,False,True,8.4037876999937,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,rt_z88_to_json,2,False,True,8.13824509998085,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,rt_z88_to_json,3,False,True,8.083031399990432,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,abaqus,roundtrip,rt_z88_to_json,4,False,True,8.11778139998205,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,src_to_target,0,True,False,12.182764500030316,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,src_to_target,1,False,True,11.782535700011067,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,src_to_target,2,False,True,11.957605200004764,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,src_to_target,3,False,True,11.956906699982937,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,src_to_target,4,False,True,11.927322799980175,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,rt_src_to_z88,0,True,False,19.394320100022014,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,rt_src_to_z88,1,False,True,19.20436350000091,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,rt_src_to_z88,2,False,True,19.11995179997757,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,rt_src_to_z88,3,False,True,19.009380300005432,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,rt_src_to_z88,4,False,True,19.144504600029904,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,rt_z88_to_json,0,True,False,8.132611599983647,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,rt_z88_to_json,1,False,True,8.267530100012664,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,rt_z88_to_json,2,False,True,8.05473350000102,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,rt_z88_to_json,3,False,True,8.071303599979728,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,ansys,roundtrip,rt_z88_to_json,4,False,True,8.102583400032017,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,src_to_target,0,True,False,11.01304390002042,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,src_to_target,1,False,True,10.575368999969214,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,src_to_target,2,False,True,10.630426299991086,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,src_to_target,3,False,True,10.595095600001514,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,src_to_target,4,False,True,10.638110500003677,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,rt_src_to_z88,0,True,False,16.572042600018904,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,rt_src_to_z88,1,False,True,15.960331300040707,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,rt_src_to_z88,2,False,True,15.781019299989566,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,rt_src_to_z88,3,False,True,16.08784100000048,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,rt_src_to_z88,4,False,True,15.888246799993794,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,rt_z88_to_json,0,True,False,7.87190530000953,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,rt_z88_to_json,1,False,True,7.85127330000978,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,rt_z88_to_json,2,False,True,7.923424699984025,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,rt_z88_to_json,3,False,True,7.8489228000398725,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,nastran,roundtrip,rt_z88_to_json,4,False,True,7.831060600001365,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,src_to_target,0,True,False,10.442125800007489,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,src_to_target,1,False,True,10.544396800047252,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,src_to_target,2,False,True,10.285330199985765,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,src_to_target,3,False,True,10.296666699985508,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,src_to_target,4,False,True,10.337132399959955,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,rt_src_to_z88,0,True,False,12.098678799986374,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,rt_src_to_z88,1,False,True,11.76596829999471,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,rt_src_to_z88,2,False,True,11.704423499992117,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,rt_src_to_z88,3,False,True,11.89179200003855,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,rt_src_to_z88,4,False,True,11.612735000031535,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,rt_z88_to_json,0,True,False,7.898070099996403,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,rt_z88_to_json,1,False,True,7.813407799985725,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,rt_z88_to_json,2,False,True,7.931462100008503,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,rt_z88_to_json,3,False,True,7.830316099978518,5,1
#1/SUB40270rs28kN.inp,#1,abaqus,z88,roundtrip,rt_z88_to_json,4,False,True,7.883385399996769,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,REF,ref,ref_src_to_z88,0,True,False,1.1450115999905393,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,REF,ref,ref_src_to_z88,1,False,True,1.2447805000119843,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,REF,ref,ref_src_to_z88,2,False,True,1.1821265000035055,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,REF,ref,ref_src_to_z88,3,False,True,1.1764383000554517,5,1
